name,company,title,country
Aaron Díaz,,Actor,
Aaron Otoya,Chollywood Cine,Gerente,
Abigail Cohen,Black Sheep Productions,Producer,
Adela Redondo,"Claro Video, LLC","Manager, Content Acquisitions",USA
Aden Ikram,Viasat,"Director, Content Acquisitions",USA
Ado Oliveira,Watch TV,Content director,Brazil
Adolfo Álvarez Rivas,¡HOLA! TV,VP ON AIR CONTENT & PROGRAMMING,USA
Adrian De Brasi,INSiGHT MEDIA,CEO,
Adrian Garelik,Flixxo,Founder,Argentina
Adrián Santucho,Telemundo Studios,SVP Unscripted Content,
Adriana Bello,"Icebergfilms, Redrum","Productora Ejecutiva, CEO",
Adriana Calvo,Thema / Canal+,Head of Programming,USA
Adriana Da Silva,Floresta,VP & MD Floresta,Brazil
Adriana Marques,Mixer Films,Production and Content DIrector,Brazil
Adriana Perez de Luis,Beta Spain,Global content commissioner,Spain
Adriana Ramirez,Megatrax,Gerente Latam,
Adriano Canella,Sony Pictures Television,SALES DIRECTOR,Brazil
Agustin Bossi,Pampa Films,CEO,
Agustín Vigil Sotomayor,América Móvil,Director de Contenidos,Mexico
Agustina Dompé,The Walt Disney Company,Sr. Manager Content acquisitions,Argentina
Ainhoa Fernández Martínez,Cinema Vista Productions,Directora y guionista,
Alan Sokol,Hemisphere Media Group,CEO,USA
Albert Rainer Dechent Clares,Zapping,CCO,
Albertina Marfil,NBCUniversal Formats,"Director, format sales & production",United Kingdom
Alberto Búlfeda,Aura Producciones,CEO,
Alberto cano,inwwo streaming,DIRECTOR OF SALES & ADQUISITIONS,
Alberto Gomez Paredes,Telcom Ventures SA,Programming Manager,Argentina
Alberto Moreno,Willax Tv,Gerente de Television,Peru
Alberto Trevino,Multimedios,Manager of Operations (FAST),Mexico
Aldo Di Felice,TLN Media Group Inc.,President,Canada
Alejandra Cangas,TelevisaUnivision,VP Digital Growth Initiatives,
Alejandra Cárdenas,Sin Sentido Films,productora/directora,
Alejandro Cacetta,FAM CONTENIDOS,Producer - Founder,
Alejandro Carballo,Telefilms,Sales Director,
Alejandro Chavez,TV Azteca,Director de Programación,Mexico
Alejandro De Grazia,Energia media,CEO,
Alejandro Garcia,NBCUniversal Telemundo Enterprises,"Programming Content Manager, NBCUniversal Telemundo Enterprises",USA
Alejandro Lopez,13 ideas imposibles SL,"Guionista, Director, Productor.",
Alejandro Mercado,PX Sports,CEO,México
Alejandro Parra,Sinapsis Produccion,CEO,
Alejandro Peñafiel,Televisa Univision,ACQUISITION DIRECTOR & PARTNERSHIP AVOD/SVOD • DIR,Mexico
Alejandro Pimentel,360 Powwow LLC,Director of Non-Scripted and Production,USA
Alejandro Rincon,Endemol Shine Boomdog,CEO,
Alejandro Rincon de Luis,EndemolShine Boomdog,CEO EndemolShine Boomdog,Mexico
Alejandro Rojas,Parrot Analytics,VP of Applied Analytics,
Alejandro Suarez Aguilar,LODMAfilms,Screenwriter / Producer,Mexico
Alejandro Vázquez-Vela Duhalt,CosmoBlue,VP sénior de Adquisiciones,Mexico
Alejandro Wills,Hemisphere Media Group,"Manager, Streaming Strategy & Operations",
ALEJO SMIRNOFF,Prensario,Director,
Alex Collot,Collot Baca Media,COO,
Alex González,Sonoro Global Media Corp.,"Director, Content Partnerships",
Alex Hadad,Soho Formats,Head of Acquisition,USA
Alex Lagomarsino,Mediabiz US,CEO,
Alex Medeiros,Globoplay,"Head of content - drama, documentaries & film",Brazil
Alex Molina,Blackmagic Design,Senior Communications Manager,
Alexa De la Cruz,Sony Pictures Television,Acquisitions & Content Strategy Manager,USA
Alexander Perez,Novazul,Director,Dominican Republic
Alexandro Campos,TelevisaUnivision,Senior VP of engineering,
Alexis Fridman,Perro Azul,Productor Ejecutivo,
Alfonso Blanco,Portocabo,CEO y productor ejecutivo,Spain
Alfonso Lopez,PORTOCABO TV SL,Producer & Business Development,Spain
Alfredo Richard,NBCUniversal Telemundo Enterprises,"Executive Vice President, Corporate Communications",USA
Aliana Gonzalez,Produ,Periodista,
Alicia López,The Mediapro Studio,Development Manager,Spain
Alix Lebrat,Studiocanal,SVP Series for France & Southern Europe,
